@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
220,2639,4,19918,492,0.975894,0.998487,0.116993,0.998487,0.883007,0.209444,0.978484,1.020442,0.131854
221,2639,4,19917,493,0.975845,0.998487,0.116998,0.998487,0.883002,0.209453,0.978441,1.020487,0.133639
222,2639,4,19916,494,0.975796,0.998487,0.117003,0.998487,0.882997,0.209461,0.978398,1.020533,0.133698
223,2639,4,19912,498,0.9756,0.998487,0.117024,0.998487,0.882976,0.209494,0.978224,1.020714,0.13375
224,2639,4,19911,499,0.975551,0.998487,0.117029,0.998487,0.882971,0.209503,0.978181,1.020759,0.134036
225,2639,4,19908,502,0.975404,0.998487,0.117044,0.998487,0.882956,0.209528,0.978051,1.020895,0.134664
226,2639,4,19907,503,0.975355,0.998487,0.11705,0.998487,0.88295,0.209536,0.978007,1.02094,0.135071
227,2639,4,19906,504,0.975306,0.998487,0.117055,0.998487,0.882945,0.209544,0.977964,1.020985,0.135471
228,2639,4,19905,505,0.975257,0.998487,0.11706,0.998487,0.88294,0.209553,0.97792,1.02103,0.136079
229,2638,5,19886,524,0.974326,0.998108,0.11712,0.998108,0.88288,0.20964,0.977053,1.02155,0.137875
230,2637,6,19886,524,0.974326,0.99773,0.11708,0.99773,0.88292,0.209568,0.977009,1.021208,0.138122
231,2632,11,19839,571,0.972024,0.995838,0.117129,0.995838,0.882871,0.209604,0.974754,1.02163,0.138393
232,2632,11,19837,573,0.971926,0.995838,0.117139,0.995838,0.882861,0.209621,0.974667,1.021721,0.138843
233,2631,12,19834,576,0.971779,0.99546,0.117116,0.99546,0.882884,0.209575,0.974494,1.021515,0.139487
234,2631,12,19829,581,0.971534,0.99546,0.117142,0.99546,0.882858,0.209616,0.974277,1.021742,0.140303
235,2631,12,19825,585,0.971338,0.99546,0.117162,0.99546,0.882838,0.20965,0.974103,1.021924,0.140777
236,2629,14,19814,596,0.970799,0.994703,0.117141,0.994703,0.882859,0.209599,0.973539,1.021739,0.142158
237,2629,14,19813,597,0.97075,0.994703,0.117146,0.994703,0.882854,0.209607,0.973496,1.021785,0.143073
238,2629,14,19781,629,0.969182,0.994703,0.117314,0.994703,0.882686,0.209875,0.972108,1.023244,0.143369
239,2629,14,19780,630,0.969133,0.994703,0.117319,0.994703,0.882681,0.209883,0.972064,1.023289,0.144547
240,2629,14,19779,631,0.969084,0.994703,0.117324,0.994703,0.882676,0.209892,0.972021,1.023335,0.144874
241,2629,14,19778,632,0.969035,0.994703,0.117329,0.994703,0.882671,0.2099,0.971978,1.023381,0.145204
242,2629,14,19777,633,0.968986,0.994703,0.117335,0.994703,0.882665,0.209909,0.971934,1.023426,0.145283
243,2629,14,19774,636,0.968839,0.994703,0.11735,0.994703,0.88265,0.209934,0.971804,1.023563,0.145585
